date,home_team,away_team,home_decimal_odds,away_decimal_odds,home_open_decimal_odds,away_open_decimal_odds,bookmaker_count,source
2021-04-01,NYA,TOR,1.5195681511470984,2.665,1.5714285714285714,2.535,4,sportsbookreview_github_release
2021-04-01,DET,CLE,2.55,1.5714285714285714,2.7,1.5104166666666667,4,sportsbookreview_github_release
2021-04-01,MIL,MIN,1.855263157894737,2.0,1.9478885893980233,1.9091660467807259,4,sportsbookreview_github_release
2021-04-01,CHN,PIT,1.4494949494949494,2.8899999999999997,1.4603174603174605,2.87,4,sportsbookreview_github_release
2021-04-01,PHI,ATL,1.7846153846153845,2.1,1.9434801958166443,1.9134134134134135,4,sportsbookreview_github_release
2021-04-01,CIN,SLN,1.8298898071625345,2.05,1.8695652173913042,2.02,4,sportsbookreview_github_release
2021-04-01,MIA,TBA,2.335,1.6559139784946235,2.34,1.6477987421383646,4,sportsbookreview_github_release
2021-04-01,KCA,TEX,1.6349782293178519,2.375,1.6414473684210527,2.3949999999999996,4,sportsbookreview_github_release
2021-04-01,SDN,ARI,1.4257246376811594,3.025,1.459830866807611,2.9000000000000004,4,sportsbookreview_github_release
2021-04-01,COL,LAN,2.875,1.4494949494949494,2.9,1.4603174603174605,4,sportsbookreview_github_release
2021-04-02,ANA,CHA,2.0300000000000002,1.8403954802259888,2.035,1.8596517119244391,4,sportsbookreview_github_release
2021-04-02,OAK,HOU,1.9349060725207514,1.9389878328337153,1.939153439153439,1.939153439153439,4,sportsbookreview_github_release
2021-04-02,SEA,SFN,2.05,1.8408705483323913,1.9854368932038835,1.8850250626566416,4,sportsbookreview_github_release
2021-04-02,BOS,BAL,1.5617977528089888,2.55,1.5555555555555556,2.52,3,sportsbookreview_github_release
2021-04-02,MIA,TBA,1.925925925925926,1.9437321937321939,2.0101960784313726,1.8796296296296298,4,sportsbookreview_github_release
2021-04-03,COL,LAN,3.1,1.396078431372549,3.3,1.3584275436793423,4,sportsbookreview_github_release
2021-04-03,ANA,CHA,1.8333333333333335,2.045,1.8368347338935576,2.045,4,sportsbookreview_github_release
2021-04-03,SEA,SFN,1.8735123588648155,1.9709653092006034,1.7846153846153845,2.13,4,sportsbookreview_github_release
2021-04-03,SDN,ARI,1.4651162790697674,2.825,1.4257246376811594,2.9749999999999996,4,sportsbookreview_github_release
2021-04-03,NYA,TOR,1.593518844663614,2.45,1.5937279774489077,2.475,4,sportsbookreview_github_release
2021-04-03,DET,CLE,2.4450000000000003,1.6024315006350933,2.475,1.5882352941176472,4,sportsbookreview_github_release
2021-04-03,BOS,BAL,1.5782085561497328,2.525,1.5465949820788532,2.565,4,sportsbookreview_github_release
2021-04-03,KCA,TEX,1.611672278338945,2.4050000000000002,1.621141975308642,2.42,4,sportsbookreview_github_release
2021-04-03,CHN,PIT,1.606060606060606,2.435,1.5808080808080809,2.5300000000000002,4,sportsbookreview_github_release
2021-04-03,PHI,ATL,1.9478885893980233,1.9090909090909092,1.939153439153439,1.9175084175084176,4,sportsbookreview_github_release
2021-04-03,OAK,HOU,2.1550000000000002,1.7491582491582491,2.075,1.8012820512820513,4,sportsbookreview_github_release
2021-04-03,CIN,SLN,1.8098360655737706,2.0700000000000003,1.9090909090909092,1.962962962962963,4,sportsbookreview_github_release
2021-04-03,MIA,TBA,1.9051441677588468,1.9569597069597071,2.08,1.8098360655737706,4,sportsbookreview_github_release
2021-04-03,MIL,MIN,1.7519222071460878,2.1599999999999997,1.7692307692307692,2.13,4,sportsbookreview_github_release
2021-04-04,ANA,CHA,2.075,1.8103674540682415,2.125,1.7783161720169594,4,sportsbookreview_github_release
2021-04-04,SEA,SFN,2.025,1.8403954802259888,2.09,1.794451450189155,4,sportsbookreview_github_release
2021-04-04,PHI,ATL,2.0,1.8630952380952381,2.115,1.781297686626381,4,sportsbookreview_github_release
2021-04-04,NYA,TOR,1.548048048048048,2.575,1.6219818427660806,2.415,4,sportsbookreview_github_release
2021-04-04,BOS,BAL,1.5782085561497328,2.49,1.5798319327731094,2.5,4,sportsbookreview_github_release
2021-04-04,CIN,SLN,2.0,1.8510792409097494,1.9478885893980233,1.9304137095378224,4,sportsbookreview_github_release
2021-04-04,DET,CLE,2.135,1.7692307692307692,2.135,1.7519222071460878,4,sportsbookreview_github_release
2021-04-04,MIL,MIN,1.8970233306516493,1.9523809523809523,2.01,1.8547632963179428,4,sportsbookreview_github_release
2021-04-04,KCA,TEX,1.5718954248366015,2.52,1.5688429217840985,2.545,4,sportsbookreview_github_release
2021-04-04,CHN,PIT,1.526315789473684,2.635,1.5798319327731094,2.5,4,sportsbookreview_github_release
2021-04-04,COL,LAN,2.825,1.4653679653679654,3.0999999999999996,1.4040816326530612,4,sportsbookreview_github_release
2021-04-04,OAK,HOU,1.8893280632411067,1.9478885893980233,1.9090909090909092,1.9571350064114306,4,sportsbookreview_github_release
2021-04-04,SDN,ARI,1.4761904761904763,2.78,1.4545454545454546,2.92,4,sportsbookreview_github_release
2021-04-05,ANA,CHA,1.7968253968253967,2.065,1.8166666666666669,2.06,4,sportsbookreview_github_release
2021-04-05,DET,MIN,2.3550000000000004,1.641051982740908,2.24,1.7017630257066876,4,sportsbookreview_github_release
2021-04-05,TEX,TOR,2.325,1.6578947368421053,2.4,1.621141975308642,4,sportsbookreview_github_release
2021-04-05,CLE,KCA,1.7607312275830151,2.1449999999999996,1.9478885893980233,1.9132610508757297,4,sportsbookreview_github_release
2021-04-05,NYA,BAL,1.4301572617946345,2.95,1.4499494438827099,2.9,4,sportsbookreview_github_release
2021-04-05,CIN,PIT,1.639036341363822,2.375,1.7067932067932068,2.2350000000000003,4,sportsbookreview_github_release
2021-04-05,MIA,SLN,1.8737789987789988,2.01,1.9175084175084176,1.9434801958166443,4,sportsbookreview_github_release
2021-04-05,PHI,NYN,2.795,1.4836829836829837,2.9,1.4444444444444444,4,sportsbookreview_github_release
2021-04-05,BOS,TBA,1.9716981132075473,1.9090909090909092,2.065,1.8098360655737706,4,sportsbookreview_github_release
2021-04-05,CHN,MIL,1.8928571428571428,1.9807692307692308,1.8658170914542729,2.0001960784313724,4,sportsbookreview_github_release
2021-04-06,OAK,LAN,2.375,1.6350806451612903,2.3899999999999997,1.6312226204699323,4,sportsbookreview_github_release
2021-04-06,SEA,CHA,2.065,1.8065040650406505,2.05,1.837186492924198,4,sportsbookreview_github_release
2021-04-06,SDN,SFN,1.647255969836615,2.355,1.5634920634920635,2.575,4,sportsbookreview_github_release
2021-04-06,DET,MIN,2.275,1.7067932067932068,2.325,1.6674082313681868,4,sportsbookreview_github_release
2021-04-06,WAS,ATL,1.8514492753623188,2.01,1.7968253968253967,2.09,4,sportsbookreview_github_release
2021-04-06,ANA,HOU,1.8977455716586151,1.9663865546218489,2.05,1.8305762338020402,4,sportsbookreview_github_release
2021-04-06,NYA,BAL,1.3279569892473118,3.525,1.3448275862068966,3.425,4,sportsbookreview_github_release
2021-04-06,MIA,SLN,1.803225806451613,2.0700000000000003,1.8513708513708513,2.0161904761904763,4,sportsbookreview_github_release
2021-04-06,CIN,PIT,1.630921105007563,2.415,1.6559139784946235,2.375,4,sportsbookreview_github_release
2021-04-06,PHI,NYN,2.12,1.7783161720169594,2.22,1.7117527862208715,4,sportsbookreview_github_release
2021-04-06,BOS,TBA,2.44,1.6173780487804879,2.29,1.6756756756756757,4,sportsbookreview_github_release
